Number of frames: 100
Frequency: 100
Units: mm

Frame,New Biomech 4 LED Stylus Calibration Se q0,New Biomech 4 LED Stylus Calibration Se qx,New Biomech 4 LED Stylus Calibration Se qy,New Biomech 4 LED Stylus Calibration Se qz,New Biomech 4 LED Stylus Calibration Se x,New Biomech 4 LED Stylus Calibration Se y,New Biomech 4 LED Stylus Calibration Se z,New Biomech 4 LED Stylus Calibration Se Error,Pin1 q0,Pin1 qx,Pin1 qy,Pin1 qz,Pin1 x,Pin1 y,Pin1 z,Pin1 Error,Pin2 q0,Pin2 qx,Pin2 qy,Pin2 qz,Pin2 x,Pin2 y,Pin2 z,Pin2 Error
11,-0.328303993, 0.776433051,-0.029982138, 0.537093341,-304.801849365,-299.910186768,-1930.931518555, 0.131879658,-0.124161646, 0.723408937, 0.586252570,-0.342886746,-207.163726807,-162.380172729,-2009.868652344, 0.058363616, 0.040038407, 0.069635920, 0.996504426, 0.022950120,-348.027282715,-401.630065918,-1985.589843750, 0.167300999,
12,-0.328240454, 0.776410878,-0.029643280, 0.537183046,-304.795837402,-299.912689209,-1930.911376953, 0.134415299,-0.124210708, 0.723331451, 0.586217046,-0.343093157,-207.165939331,-162.378890991,-2009.867065430, 0.059524786, 0.039899386, 0.069711283, 0.996501327, 0.023096260,-348.025085449,-401.630645752,-1985.589965820, 0.166504771,
13,-0.328208774, 0.776479483,-0.029388161, 0.537117302,-304.795166016,-299.912048340,-1930.912597656, 0.130865544,-0.124321096, 0.723395228, 0.586222768,-0.342908889,-207.167831421,-162.380783081,-2009.865356445, 0.058591142, 0.039955933, 0.069665045, 0.996505201, 0.022973139,-348.027343750,-401.630371094,-1985.588867188, 0.167023748,
14,-0.328239530, 0.776543558,-0.029287323, 0.537011325,-304.793640137,-299.911682129,-1930.912841797, 0.131615534,-0.124321729, 0.723476410, 0.586276531,-0.342645228,-207.168823242,-162.380508423,-2009.864746094, 0.057606142, 0.040027041, 0.069650017, 0.996499777, 0.023128871,-348.025512695,-401.630157471,-1985.588867188, 0.166221723,
15,-0.328228474, 0.776594758,-0.029246105, 0.536946297,-304.793395996,-299.909698486,-1930.910766602, 0.131006032,-0.124275289, 0.723457396, 0.586231947,-0.342778414,-207.170974731,-162.378631592,-2009.864746094, 0.058508690, 0.040042944, 0.069665425, 0.996494055, 0.023300692,-348.024017334,-401.629760742,-1985.589599609, 0.165378511,
16,-0.328229010, 0.776646197,-0.029377947, 0.536864340,-304.797729492,-299.906982422,-1930.928466797, 0.129750013,-0.124225378, 0.723440111, 0.586220086,-0.342853338,-207.169219971,-162.377685547,-2009.861450195, 0.058329552, 0.039899968, 0.069652148, 0.996502340, 0.023231173,-348.022918701,-401.629425049,-1985.589721680, 0.166595832,
17,-0.328151375, 0.776619613,-0.029455625, 0.536945999,-304.799652100,-299.908172607,-1930.929565430, 0.132183015,-0.124368913, 0.723444223, 0.586257875,-0.342728019,-207.171508789,-162.378265381,-2009.863769531, 0.057292420, 0.040120542, 0.069672242, 0.996492207, 0.023225738,-348.022491455,-401.629913330,-1985.583374023, 0.165883929,
18,-0.327986449, 0.776537180,-0.029364571, 0.537170947,-304.789489746,-299.912231445,-1930.915893555, 0.133349746,-0.124567218, 0.723417938, 0.586228609,-0.342761546,-207.171356201,-162.377517700,-2009.869262695, 0.057312891, 0.040094953, 0.069698215, 0.996491790, 0.023209915,-348.023925781,-401.630310059,-1985.582885742, 0.165763363,
19,-0.327818871, 0.776472628,-0.029148677, 0.537378252,-304.792114258,-299.904541016,-1930.914306641, 0.128048301,-0.124431491, 0.723405778, 0.586234808,-0.342826009,-207.172210693,-162.374603271,-2009.872558594, 0.057957515, 0.040146142, 0.069722563, 0.996488810, 0.023176745,-348.022735596,-401.628387451,-1985.582763672, 0.165331602,
20,-0.327556074, 0.776471376,-0.028752537, 0.537561595,-304.796356201,-299.905151367,-1930.928100586, 0.130952775,-0.124243155, 0.723393142, 0.586221159,-0.342944205,-207.172485352,-162.375015259,-2009.877563477, 0.058715824, 0.040234901, 0.069727533, 0.996484458, 0.023193909,-348.023010254,-401.627319336,-1985.581420898, 0.165062055,
